383,384,113,ERRAUTHOR,"Лампочка Ильича. (Пьеса.) М.—Л., Гиз, 1930. (Детский театр.) Стр. 16, т. 10 000, ц. 10 к."
385,386,114,ERRAUTHOR,"Летчики. (Рассказ.) Рис. А. Щербакова. М.—Л., Гиз, 1929. Стр. 16, т. 50 000, ц. 7 к."
387,388,115,ERRAUTHOR,"Лягушиная напасть. Сборник. Рис. В. Ивановой. М.—Л., Гиз, 1929. Стр. 44, т.' 10 000, ц. 20 к."
389,390,116,ERRAUTHOR,"Машка-пеночница. (Рассказ.) Рис. И. Француза. М., Гиз, 1927. (Деш. б-чка.) Стр. 15, т. 50 000, ц. 5 к."
391,392,117,ERRAUTHOR,"Находкины дети.(Рассказ.) Рис. М. Родионова. М.—Л., Гиз, 1927. (Новая детская б-ка.) Стр. 24, т. 7 000, ц. 20 к."
393,394,118,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 1929. Стр. 24, т. 20 000, ц. 15 к."
395,396,119,ERRAUTHOR,"Нечистая сила. Пьеса в 4 карт, для подростков. М.—Л., Гиз, 1925. (Детский театр.) Стр. 24, т. 10 000, ц. 20 к."
397,398,120,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 1927. (Детский театр.) Стр. 23, т. 7 000, ц. 20 к."
399,400,121,ERRAUTHOR,"Новый пояс. (Рассказ.) Рис. В. Ко-нашевича. М., Гиз, 1929. Стр. 11,т. 100 000, ц. 6 к."
401,402,122,ERRAUTHOR,"То же. Изд. 2-е, М., Гиз, 1930. €тр. 11, т. 75 ОО0, ц; 6 к."
403,404,123,ERRAUTHOR,"О девочке Маришке, о новеньком пальтишке, о свинье ужасной и о звездочке красной. (Стихи.) Рис. А. Гончарова, 3. Григорьевой, Г. Ечейстова и М. Тарханова. М., Гиз, 1927. Стр. 15, т. 7 000, ц. 35 к."
405,406,124,ERRAUTHOR,"Озорница Бейка. Рассказ. Рис. В. Веретенникова. М.—Л., Гиз, 1927. (Новая детская б-ка.) Стр. 40, т. 10 000, ц. 20 к."
407,408,125,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 1928. Стр. 23, т. 10 000, ц. 15 к."
409,410,126,ERRAUTHOR,"То же. Изд. 3-е, М., Гиз, 1929. Стр. 16, т. 50 000, ц. 7 к."
411,414,127,ERRAUTHOR,"Опоздали. Пьеса в 2 карт. М.—Л., ГйЗ, 1925. (Детский театр.) Стр. 15, т. 10 000, ц. 50 к. 123. — То же. Изд. 2-е, М.—Л., Гиз, 1926. (Детский театр.) Стр. 16, т. 10 000, ц. 12 к.'"
415,414,128,NOAUTHOR,MISSING
415,416,129,ERRAUTHOR,"То лее. Изд. 3-е, М.—Л., Гиз, 1929/ (Детский театр,) Стр. 16, т. 7 000, ц. 8 к."
417,418,130,ERRAUTHOR,"Охотники. Рассказы. Рис. А. Рыбникова. М.—Л., Гиз, 1925. (Новая детская б-ка.) Стр. 38, т. 10 000, ц. 20 к."
419,420,131,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 1927. (Новая детская б-ка.) Стр. 32, т. 10 000, ц. 15 к."
421,424,132,ERRAUTHOR,"То лее. Изд. 3-е, М.—Л., Гиз, 1929. Стр. 32, т. 20 000, ц. 15 к.     •"
425,426,133,ERRAUTHOR,"То же. Изд. 4-е, М.—Л., Гиз, 1930. Стр. 32, т. 50 000, ц. 7 к."
427,428,134,ERRAUTHOR,"Пастухова дочь. (Рассказ.) Рис. М. Михаэлис. М.—Л., Гиз, И 23. (Новая детская б-ка.) Стр. 38, т. 10 000, ц. 25 к."
429,430,135,ERRAUTHOR,"То лее. Изд. 2-е, М.—Л., Гиз, 1928. Стр. 38, т. 15 000, ц. 20 к."
431,432,136,ERRAUTHOR,"Пестрые варежки. (Рассказы.) Рис. К. Кузнецова. М.—Л., Гиз, 1928. (Новая детская б-ка.) Стр. 40, т. 20 С03, ц. 35 к."
433,442,137,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 1930. Стр. 32, т. 20 000, ц. 25 к. 137-а. — По новому. Колхозные очерки для ребят. М.—Л., Огиз—Учпедгиз, 1931. (Рабоч. б-ка школьника 1 ст., Стр. 47, т. 10 000, ц. 20 к. 138 .— Против! Против! Рассказы. Рис. А. Короткина. М., «Безбожник», 1931. (Б-ка юного безбожника.) Стр. 28, т. 25 000, и. 20 к. ' 139. — Путешествие Кости на самолете. (Стихи.) Рис. И. Мрочковского. М.—Л., Гиз, 1926. (Новая детская б-ка.) Стр. 31, т. 10 200, ц. 30 к."
443,442,138,NOAUTHOR,MISSING
443,442,139,NOAUTHOR,MISSING
443,444,140,ERRAUTHOR,"То же. Изд. 2-е, М.—Л., Гиз, 19£8. Стр. 32, т. 15 000, ц. 30 к."
445,446,141,ERRAUTHOR,"Разноцветные стекляшки. (Рассказ.) Рис. М. Родионова. М.—Л., Гиз, 1928. Стр. 30, т. .20 000, ц. 15 к."
447,448,142,ERRAUTHOR,"Рыбак Фомка. (Рассказ.) М., «Крестьянская газета», 1930. (Б-ка «Дружные ребята».) Стр. 16, т. 60 000, ц. 7 к."
