ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Давыдов, Ю.","Лелишна из третьего подъезда, или повесть о доброй девочке ...",Повесть,1965,100,,1,,,Пермь,м
"Дальний, Б.","Дикая утка. Трое отважных",Повести,1965,50,,1,,,Воронеж,м
"Данилевская ,Н.","Тайна ""каменного кольца""",Повесть,1965,65,,1,1,,Москва,ж
"Данилов, В.","Лесные тайны",Рассказы,1964,15,,1,,,Петрозаводск,м
"Данилов, В.","Магелланы с берегов Неженки",Повесть,1966,30,1,,,,Петрозаводск,м
"Данько, Е.","Деревянные актеры",Повесть,1965,100,,,,,Ленинград,ж
"Дворкин, И.","День начинается утром",Повесть,1965,100,1,,,,Ленинград,м
"Дворкин, И.","С парусом за спиной","Повести и рассказы",1966,100,1,,,,Ленинград,м
"Дембо, Е.","Рассказы о ""Чайке""",,1965,200,1,,,,Москва,м
"Дик, И.","В дебрях Кара-Бумбы","Повести и рассказы",1965,100,1,,,,Москва,м
"Дик, И.","Железная воля",Рассказы,1964,300,1,,,,Москва,м
"Дик, И.","Я, Вовка и мышь",Рассказы,1965,150,1,,,,Москва,м
"Димент, М.",КОстя-арсеналец,Рассказы,1966,13,,1,,,Фрунзе,м
"Длугач, В.; Романов, С.; Товаровский, М","тройка без тройки",Повесть,1966,50,,,,,Москва,м;м;м
"Длуголенский, Я.","Возчик первого класса",Повести,1965,100,,1,1,,Ленинград,м
"Дмитриевский, В.","Бей, барабан!",Повесть,1964,50,,1,1,,Ленинград,м
"Дмитриев, Ю.","Егорка и красная звезда",Рассказы,1964,50,,1,,,Калининград,м
"Дмитриев, Ю.",Разведка,Рассказы,1965,165,,1,,,Москва,м
"Днепров, А.","Пурпурная мумия","Повести и рассказы",1965,100,,1,1,,Москва,м
"Добряков, В.","Король живет в интернате",повесть,1964,50,,1,,,Воронеж,м
"Добряков, В.","Одинадцать бестолковых","Повесть и рассказы",1966,50,,,,,Воронеж,м
"Добряков, В.","Шумный двор",Повесть,1964,75,,1,,,Киев,м
"Домбровский, К.","Остров неопытных физиков",Повесть,1966,75,,1,,,Москва,м
"Домнин, А.","Полкило смеха",Рассказы,1965,15,1,,,,Пермь,м
"Донникова, В.","Ничего особенного",Рассказы,1964,150,1,,,,Москва,ж
"Донская, К.","Катино детство",Повесть,1966,15,,,,,Воронеж,ж
"Достян, Р.","В этом большом мире",Повести,1964,50,,1,1,,Ленинград,м
"Достян, Р.","Хочешь не хочешь",рассказы,1965,150,1,,,,Ленинград,м
"Драбкина, Е.","Алёша Каленов",Рассказы,1964,150,1,,,,Москва,ж
"Драбкина, Е.","Алёша Каленов",Рассказы,1965,150,1,,,,Ленинград,ж
"Драгунский, В.","Девочка на шаре",Рассказы,1964,100,1,,,,Москва,м
"Драгунский, В.","Денискины рассказы",,1966,125,1,,,,Москва,м
"Драгунский, В.","Похититель собак",Рассказы,1966,100,1,,,,Москва,м
"Драгунский, В.","Старый мореход",Рассказы,1964,200,1,,,,Москва,м
"Дроздов, В.; Капусто, Ю.","Война на хуторах или юность Феди панько",Повесть,1965,75,,1,1,,Москва,м;ж
"Дубов, Н.",Беглец,Повесть,1966,100,,,1,,Москва,м
"Дубов, Н.","Жесткая проба",Повесть,1964,100,,1,,,Москва,м
"Дубов, Н.","Мальчик у моря",Повесть,1964,100,,1,,,Москва,м
"Дубов, Н.","Мальчик у моря",Повести,1965,100,,,,,Москва,м
"Дубов, Н.","У отдельно стоящего дерева",Повесть,1966,75,,1,1,,Москва,м
"Дугинец, А.","Шапка Мамбета",,1965,200,1,,,,Москва,м
"Дудкин, Д.","Прометеев огонь",Повести,1964,30,,,1,,Душанбе,м
"Дупленко, А.","Витька из нашего класса",Рассказы,1966,65,,1,,,Челябинск,м
"Дурова, Н.","Ваш номер!",Повесть,1964,100,1,,,,Москва,ж
"Дьяконов, В.","Первый костер",,1966,50,,,,,Казань,м
"Евгеньев, И.","Буденовские часы",Повесть,1966,65,,,,,Москва,м
"Евтушенко, А.","Орленок красного хопра",Повесть,1966,5,,,,,Волгоград,м
"Езерская, Г.","Первая зима",Повесть,1966,150,1,,,,Москва,ж
"Елагин, В.","Снежный ком",Повесть,1964,30,,1,1,,Москва,м
"Еловский, В.","У дедушки",Рассказ,1965,100,1,,,,Москва,м
"Емельянов, Б.","Десять книжек под одной крышей","Повести и рассказы",1966,200,1,1,,,Москва,м
"Емельянов, Б.","Китобой и его друзья",Рассказы,1965,75,1,,,,Москва,м
"Емельянова, Н.",Родники,Повесть,1966,100,,,,,Москва,ж
"Емцев, М.; Парнов, Е.","Зеленая креветка","Повесть и рассказы",1966,75,,,1,,Москва,м;м
