Гадагатль Аскер.	3139
Гаецкий Юрий.	545, 546
Газданов Цопан.	547
Гай Е.	548, 549
Гай М.	550
Гайдар А.	551—589, 3769, 3794, 3795, 3797, 3829, 3836, 3847, 3888, 3915, 3934, 3940
Гайдар-Голикова Е.	4465
Гайрбекова Машидат.	387
Гайсултанов Умар.	3140
Гайцхоки Л. Ш.	4645
Гакина В. Л.	3523, 3768
Галай М.	3922
Галёев Б.	3868
Галин Б.	3895, 3940
Галин Г.	3835
Галина А.	3783
Галина Лада.	3870
Галина Т.	3835
Галицкий И.	3797
Галкин И.	2446, 3825
Галкина В.	590, 3806
Галчинский К.	3787
Гальперина Э.	4068, 4069
Гальперштейн Л.	3829, 4008
де-Гамараес Жозе Альфонсус.	3885
Гамаюнов К.	3770
Гамзатов Р.	3141—3143, 3762, 3861, 3871, 3934, 3940
Гаммерман А.	4009
Гамсахурдия А.	1566
Ганейзер Г.	3805
Гани Абдулла.	3835
Гансовский Север.	591, 3932
Ганшин В.	3890
Гаранжин В.	3764
Гарин Н.	3804, 3836
Гарин С.	3805
Гарин-Михайловский Н. Г.	2748, 3896—3898
Гаркави А.	2848
Гарри А.	3769
Гарф А.	3144, 3145, 3511
Гаршин В. М.	2749, 3836, 3896—3898
Гасенко Григорий.	592, 3764, 3867
Гаспаров Г.	3961
Гауф В.	3583
Гацак В.	3146
Гашек Я.	3910
Геджу Г.	3147
Гезерингтон Д.	3939
Гейгер Б.	3621
Гейдеко В.	3834, 3835
Гейн Элеонора.	4016-
Геллерштейн В.	862
Генделев Д.	1707
Гензель А.	3584
Генц Н.	593
Георгиевская С.	594—597, 3829
Герасимов Г.	3883
Герасимов Е.	598, 3847
Герасимов М.	3889
Герасимова А.	3825
Гераскин Л.	3890
Геращенко И.	4163
Гербер Алла.	599
Герман Ю.	600, 601, 3769, 3828, 3940
Гернет Н.	602—604, 3650, 3805, 3841, 3843, 3933, 3934
Героян А.	605
Герр Е.	3770, 3825
Герцен А. И.	2750—2752, 3784
Герчик В.	2502, 3786, 3848
Герчик М.	606, 3883
Гершвельц Д.	3851
Гершензон М.	607, 3858, 3934
Гессе Н.	608, 3585
Гессен А.	3828, 4010, 4011, 4459
Геттуев М.	3148, 3149
Гефф А.	3934
Гецелевич А.	3559
Гёте Иоганн.	3586
Гилевич Н.	3480
Гиленко В.	2508, 3835
Гилле-Брандте Е.	3918
Гиллер Р. Д.	4495
Гильен Николас.	3587
Гильмутдинова С.	609
Гиляжев Хаким.	3150
Гингольд Л.	4012
Гинсбург И. Я.	3804
Гинц С.	4460
Гиппиус С.	3934
Гитович Александр.	3889
Глаголев А.	3782
Гладких Я.	3792
Гладков К.	4013
Гладков Ф.	3769, 3915
Глебка П.	3782
Глебов А.	610—612
Глебов Н.	3829
Глигорович Н.	3828
Глинка М.	3890
Глинка Н.	3889
Глиэр Р.	3782
Глотов В.	3792
Глухов А.	4544
Глущенко В.	613
Гнутов В.	3790
Говоров А.	614, 615
Говоров А.	615
Говязин В.	3824
Гошашвили К.	3841
Гоголь Н. В.	2753—2769, 2922, 3804, 3935
Годек А.	3588
Гозенпуд Александр.	3798, 4545
Голанд Р.	3886
Голант В.	4014, 4016, 4212, 4213
Голев Владимир.	3870
Голенкова А.	616
Голенкова Л.	3914
Голицын С.	617, 618
Голованова Т.	2849
Головин В.	619, 4258
Головин Н.	620, 3056
Головина Н.	621, 622, 956
Головинский В.	3914
Головко В.	4018
Головко Д.	4415
Головнев Г.	3939
Голодный М.	3816, 3851, 3857, 3907, 3947
Голодный Ц.	3175, 3796
Гололобов А.	3825
Голосов П.	623, 624, 2879
Голосовский И.	3886
Голуб Т.	625
Голубев В.	3782
Голубева А.	626—628, 3773
Голубков Дмитрий.	629, 3829
