Лаврухин Ю.	255, 1128, 1129
Ладигайте М.	2011
Ладягин В.	303, 816, 820, 874, 876, 893, 964, 977, 1226, 1279, 1355, 1612, 1661 — 1663, 1758, 1759
Лазовская Л.	1295
Лазурский В.	1640, 1641, 2256
Лалаянц В.	2194
Лансере Е.	1703
Лаптев А.	268, 514, 729, 983, 1579, 1610, 1615, 1617, 1758, 1759, 2343
Лаптев Л.	105, 1530,'1532, 1533, 1581
Лапшин П.	2354
Ларетей Х.	1974
Ларин К.	2021
Латинский И.	2300, 2573
Лашкевич В.	2409
Лебедев Б.	253, 522, 1987
Лебедев В.	815—817, 820, 823, 825, 874, 893
Лебедев Е.	58, 724, 1874
Лебедев Н.	651
Левандовская Э.	2131
Леви Г.	318
Левинская Н.	828, 2185, 2366
Левицкий Р.	1973
Левич Я.	265
Левичек М.	2627
Лемкуль Ф.	170, 726, 883, 887, 893, 1983, 2204, 2267, 2270, 2303
Леонов В.	2573
Леонов Е.	1837
Летов Л.	542, 1316, 2237
Ливанов А.	234
Лисогорский М.	1141, 1975, 2580
Литвиненко А.	2534
Лобанев Н.	2541, 2546
Лобанов Е.	874
Логачев В.	11
Логинов В.	2342
Лолуа Д.	2099
Лосин В.	36, 109, 317, 411, 448, 449, 604, 840, 841, 874, 1469, 1763, 2303
Лось Е.	2105
Лохманова М.	2027
Луганский П.	751, 2257
Луманев Б.	1760
Лупачев Б.	1012
Лурье А.	61, 261, 345, 346, 691, 692, 752, 1079, 1145, 1152, 1228, 1899, 1992, 2024, 2038, 2213, 2241, 2315
Лутохин Н.	767
Лыков В.	1431
Любарский В.	698
Лямин Н.	240, 241, 334, 400, 441, 788, 972 2495 2539
Маврина Т.	775,1642,1643, 1645,1646, 1658, 1780, 2303
Магомаев М.	2003
Магомедова С.	1341
Мазрухо М.	1677
Мазрухо Н.	795
Мазурин Г.	106, 120, 438, 617, 723, 853, 874—876, 889, 892, 893, 975, 2179 2184 2242
Майорова Л.	944, 1777, 1788— 1790, 2485
Майофис М.	417, 1170, 1297, 1309, 2090
Макавеева Г.	55, 433, 615
Макаренко Н.	1875
Макаренко Ю.	2439, 2462, 2556
Макаров А.	618, 940
Макаров Ю.	1292, 1337
Макеев В.	384
Максин В.	183, 186, 387, 392, 598, 1015, 1019, 1106, 1113, 1327, 1364, 1367, 1529, 1533, 1535, 1542, 1551, 1575, 1576, 1582, 1587, 1597, 1600, 1615, 1617, 1623— 1625, 1627, 1665, 1666, 1690, 1691, 1716, 1727— 1729, 1744, 1745, 1750, 1752, 2352
Малахиев И.	1117
Малинковский Б.	458, 2053, 2266, 2650, 2658
Малинковский В.	1219
Мальт И.	2577
Мамедов Н.	1932
Мамей М.	349
Манткава Г.	1411
Манухин А.	2288
Манухин Я.	164, 695, 744, 1795, 2084, 2102, 2380
Маркевич Б.	588, 1655, 1656, 2303, 2323
Маркин В.	249, 1184, 1826
Масальский Г.	1572
Масумова К.	2321
Матвеев В.	860
Махонин Ф.	1147
Медведев В.	194, 900, 901, 1045
Медведев Е.	229, 681, 683, 874, 893, 1076, 1319, 1888
Меджидова С.	2080
Межавилк У.	1155
Меженинов М.	78, 1792, 2671
Мельник В.	1513
Меньшиков В.	1149
Метел ев Г.	389
Мешков Е.	68, 120, 198, 199, 897, 2076, 2153, 2227, 2296
Мигунов Е.	238, 491, 748, 757, 924, 982, 1340, 2303
Милашевский В.	1650, 1860, 2106, 2479
Милорадович Л.	2414
Мильковицкий. А.	264
Минаев В.	1749, 1806, 2161
Миргалимов К.	2012
Мирзашвили.	992
Мирзашвили Т.	1917, 2099
