Шмидт Г.	442, 842, 2924, 2979
Шольте Ф. И.	2691
Шор С.	4182
Штаерман М.	1234
Штеренберг Ф.	242
Штерн М.	781, 1483, 2590, 2855
Шуринов К. и Афанасьева Е.	1119
Щеглов В.	2, 3, 227, 692, 694, 903, 1381, 1498, 2002, 2274, 2284, 2303, 2353, 2455, 2456, 2600, 2616, 2634, 2831, 2847, 3077, 3078, 3131, 3351, 3401, 3418, 3534, 3661, 3732, 4151
Щекалина А.	3656
Щербаков А.	1212, 1436, 1588, 1591
Эвенбах Е.	1653
Эдельштейн К.	1119, 2350
Эллис Ф.	798, 1861
Эльконин В.	1119, 2005
Эппле Л.	509, 3411, 3663, 3819
Юдин Л.	529, 1156, 1159, 2123, 3405
Юдовин С. Б.	1901
Юркевич Л.	691
Ягужинский М.	137, 3870
Якобсон А.	2485
Якобсон А. и Васнецов Ю.	1484
Якобсон С.	2057
Яковлев Н.	3737
Якубович Г. С.	1435
Яновский М.	1250
Ястребов Д.	797
