А. С.	4451, 6961.
Комаров А.	97, 361, 366, 841, 1039, 1041, 1212, 1298, 1580, 1769, 1792, 1920, 2532, 2544, 2638, 2901, 2905, 3046, 3064, 3093, 3192, 3194, 3351, 3373, 3571, 3605, 3608, 3624, 3631, 3668, 3754, 4012, 4483, 4643, 4646, 4649, 4651, 4653, 4655, 4658, 4660, 4663, 4665, 4666, 4669, 4670, 4671, 4673, 4675, 4676, 4677, 4678, 4680, 4681, 4684, 4687, 4689, 4693, 4696, 4697, 4699, 4700, 4701, 4702, 4703, 4742, 4793, 4922, 4956, 4957, 4961, 5105, 5120, 5121, 5126, 5179-а, 5200, 5275, 5472, 5485, 5614, 5639, 5671, 5705, 5709, 5724, 5802, 5874, 5888, 5893, 5907, 5909, 5920, 5924, 5929, 5940, 5943, 5949, 5997, 6019, 6530, 6567, 6685, 6691, 6694, 6730, 7060, 7141, 7416, 7788, 7807, 7828, 7869, 8073, 8083, 8099, 8107, 8380, 8409, 8505, 8518, 8686, 8856, 9024, 9122, 9264, 9474, 9658, 9665, 9678, 9682, 9689, 9689-а, 9690, 9691, 9692, 9695, 9697, 9701, 9709, 9706, 9708, 9700, 9711, 9817, 10044, 10077, 10228, 10229, 10236, 10238, 10526, 10666, 10689.
Конашевич В.	121 ,646, 648, 663, 691, 1005, 1190, 1480, 1560, 1568, 1579, 1640, 2167, 2523, 2577, 2672, 3158, 3400, 4485, 4708, 4709, 4710, 6039, 6053, 6067, 6069, 6081, 6082, 6086, 6103, 6107 , 6108 , 6111, 6195, 6210, 6315, 6370, 6400, 6461, 6464, 6501, 7090, 7149, 7593, 7917, 7922, 8292, 9036, 9508, 9509, 9571, 9952, 9983, 9984, 10023, 10231, 10284, 10290, 10299, 10302, 10310, 10332, 10334, 10341, 10346, 10359, 10370, 10392, 10394, 10398, 10408, 10486, 10500, 10503, 10529, 10810, 10812, 10815.
Кондаков Н.	10527.
Кондиайн З.	4711, 4712, 4713, 3714, 4715, 4716, 4717, 4718, 4719, 4730, 4721, 4722, 4723, 4724.
Кондратов Ф.	504, 2109, 4257, 5238, 7728, 8193, 9202, 9211, 9713, 9741, 9767.
Кондратьев П.	873, 1399, 3879, 7978, 7995, 9574.
Коневка П.	4726.
Каневский А.	485, 1822, 2103, 4279, 4638, 9110.
Коннель Р. О.	8663.
Конончук С.	2863, 4402, 4872-а.
