author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Кирпичникова, И. П.",Самый трудный километр,Повесть,1979-01-01,150000,TRUE,FALSE,FALSE,FALSE,Ленинград,ж,Кирпичникова,самый трудный километр
"Кирпичникова, И.",Хрустальные тайны,Повесть,1973-01-01,100000,TRUE,FALSE,FALSE,FALSE,Ленинград,ж,Кирпичникова,хрустальные тайны
"Киршина, К.",А у нас во дворе,Рассказы,1971-01-01,100,TRUE,NA,NA,NA,куйбышев,ж,Киршина,а у нас во дворе
"Киршина, К. Д.",Вот какая история,Рассказы,1981-01-01,100000,TRUE,FALSE,FALSE,FALSE,Куйбышев,ж,Киршина,вот какая история
"Киршина, К.",Двор Непуганых птиц,Рассказ,1971-01-01,150,NA,NA,NA,NA,Москва,ж,Киршина,двор непуганых птиц
Киршина К.,На заре,Рассказы,1948-01-01,10000,FALSE,TRUE,FALSE,FALSE,Куйбышев,ж,Киршина,на заре
"Киршнер, Л.",Шифрованная записка,Повесть,1962-01-01,30000,FALSE,TRUE,FALSE,FALSE,Ленинград,м,Киршнер,шифрованная записка
"Кирюшкин, Вл.",В ночном,Рассказы,1953-01-01,15000,FALSE,TRUE,FALSE,FALSE,Пенза,м,Кирюшкин,в ночном
"Кирюшкин, В.",Ветер с моря,Повесть,1973-01-01,100000,NA,NA,NA,TRUE,Куйбышев,м,Кирюшкин,ветер с моря
"Кирюшкин, В.",Занимательный рейс,Повесть,1954-01-01,15000,FALSE,TRUE,TRUE,FALSE,Хабаровск,м,Кирюшкин,занимательный рейс
"Кирюшкин, В. В.",Золотой медведь,Повесть,1981-01-01,50000,FALSE,FALSE,FALSE,FALSE,Куйбышев,м,Кирюшкин,золотой медведь
"Киселев, Г.","Возьмемся за руки, друзья",Повесть,1980-01-01,15000,FALSE,FALSE,FALSE,FALSE,Ташкент,м,Киселев,возьмемся за руки друзья
"Киселев, В.",Воробей в галошах,Рассказы,1963-01-01,15000,FALSE,TRUE,FALSE,FALSE,Иркутск,м,Киселев,воробей в галошах
"Киселев, В.",Девочка и птицелет,Роман,1973-01-01,100000,FALSE,TRUE,FALSE,FALSE,Москва,м,Киселев,девочка и птицелет
"Киселев, В. Л.",Девочка и птицелет; (Любовь и картошка),Романы,1982-01-01,100000,NA,TRUE,TRUE,NA,NA,м,Киселев,девочка и птицелет любовь и картошка
"Киселев, В. Л.",Интервью в седьмом «Б»,Повесть,1984-01-01,40000,NA,NA,NA,NA,Ташкент,м,Киселев,интервью в седьмом б
"Киселев, В. Л.",Любовь и картошка,Роман,1979-01-01,100000,FALSE,FALSE,TRUE,FALSE,Москва,м,Киселев,любовь и картошка
"Киселев, Н.",Ночной визит,Повесть,1963-01-01,115000,FALSE,FALSE,TRUE,FALSE,Москва,м,Киселев,ночной визит
"Киселев, В.",Первая песня,NA,1960-01-01,115000,TRUE,FALSE,FALSE,NA,Москва,М,Киселев,первая песня
"Киселева, А.",Алтайские робинзоны,NA,1949-01-01,10000,FALSE,TRUE,TRUE,FALSE,Барнаул,ж,Киселева,алтайские робинзоны
"Киселева, М.",Веселый третий,Повесть и рассказы,1972-01-01,150000,TRUE,FALSE,FALSE,FALSE,Москва,ж,Киселева,веселый третий
"Киселева, А.",Дневник Люды Кубанцевой,Повесть,1963-01-01,15000,FALSE,TRUE,TRUE,FALSE,Воронеж,ж,Киселева,дневник люды кубанцевой
"Киселева, А.",За честь класса,NA,1955-01-01,30000,FALSE,TRUE,FALSE,NA,Новосибирск,ж,Киселева,за честь класса
